Gene,architecture,dataset,IDR_START,IDR_END,IDR_ID,Asphericity,Radius_of_gyration,Radius_of_gyration_scaled,End_to_end_distance,End_to_end_distance_scaled,Scaling_exponent,Prefactor,Kappa,Length,FCR,NCPR,SHD,SCD,Molecular_weight,F_Neg,F_Pos,Hydrophobicity,Fraction_aromatic,Fraction_aliphatic,Fraction_polar,Complexity,cog_root_ids
OM-RGC.v2.003118932,ORDERED-IDR,omrgcv2,381,439,OM-RGC.v2.003118932_381-439,0.442,23.377,23.075,55.551,55.088,0.546,6.845,0.2812862992286682,59,0.3389830508474576,0.1016949152542373,3.9793997576369295,-0.2472572081672892,6645.900000000004,0.1186440677966101,0.2203389830508474,2.391525423728814,0.0,0.1186440677966101,0.423728813559322,0.8449979737117085,COG0513
OM-RGC.v2.000761006,ORDERED-IDR-ORDERED-IDR,omrgcv2,427,476,OM-RGC.v2.000761006_427-476,0.397,18.916,19.384,44.997,45.57,0.52,6.411,0.1184637919068336,50,0.48,-0.04,3.48870229177654,-0.5450097241179092,5642.799999999999,0.26,0.22,2.5620000000000003,0.06,0.1,0.28,0.7649832974128825,COG0513
OM-RGC.v2.000761006,ORDERED-IDR-ORDERED-IDR,omrgcv2,539,702,OM-RGC.v2.000761006_539-702,0.427,45.141,44.753,113.03,106.725,0.576,6.488,0.1943067163228988,164,0.3780487804878049,0.1341463414634146,5.7899261020123065,7.867887712916144,17407.800000000017,0.1219512195121951,0.2560975609756097,3.05,0.024390243902439,0.2012195121951219,0.2317073170731707,0.8038855892390347,COG0513
OM-RGC.v2.002976763,ORDERED-IDR,omrgcv2,373,446,OM-RGC.v2.002976763_373-446,0.457,27.95,28.77,67.221,68.738,0.588,6.198,0.2060244455933571,74,0.3108108108108108,0.2567567567567567,4.66748779779622,8.548552184416696,7939.900000000003,0.027027027027027,0.2837837837837837,2.610810810810811,0.0135135135135135,0.1351351351351351,0.4054054054054055,0.7658864404789365,COG0513
OM-RGC.v2.003479239,ORDERED-IDR,omrgcv2,389,423,OM-RGC.v2.003479239_389-423,0.463,16.765,17.344,40.43,42.557,0.609,6.415,0.2041974663734436,35,0.4857142857142856,0.2,3.616265660801032,1.0421486030744072,3941.099999999999,0.1428571428571428,0.3428571428571428,2.6314285714285712,0.0285714285714285,0.2,0.2,0.7824972525375832,COG0513
OM-RGC.v2.024086904,IDR-ORDERED-IDR,omrgcv2,1,15,OM-RGC.v2.024086904_1-15,0.482,9.694,9.694,25.325,25.325,0.479,6.268,0.0934698022902011,15,0.5333333333333333,0.0,2.180714543604544,-0.1263442667972164,1931.4,0.2666666666666666,0.2666666666666666,1.5266666666666666,0.0666666666666666,0.0,0.3333333333333333,0.6338773348005275,COG0513
OM-RGC.v2.024086904,IDR-ORDERED-IDR,omrgcv2,88,174,OM-RGC.v2.024086904_88-174,0.442,29.401,29.84,69.416,69.849,0.555,6.525,0.260346345603466,87,0.4367816091954023,0.1839080459770115,4.676475696211549,3.683040265127539,9682.300000000014,0.1264367816091954,0.3103448275862069,2.75632183908046,0.0229885057471264,0.1954022988505747,0.264367816091954,0.8216897613104228,COG0513
OM-RGC.v2.001676296,IDR-ORDERED-IDR,omrgcv2,1,17,OM-RGC.v2.001676296_1-17,0.444,11.726,11.726,28.316,28.316,0.5,3.733,0.2409260794520378,17,0.4117647058823529,0.1764705882352941,2.729725467587968,0.1971528258403527,2057.7,0.1176470588235294,0.2941176470588235,2.811764705882353,0.0588235294117647,0.2941176470588235,0.1176470588235294,0.7346543175647653,COG0513
OM-RGC.v2.001676296,IDR-ORDERED-IDR,omrgcv2,399,542,OM-RGC.v2.001676296_399-542,0.419,36.668,36.871,87.701,87.733,0.553,6.248,0.1332267671823501,144,0.3958333333333333,0.0069444444444444,4.927861781884757,-0.816268060940626,15920.800000000025,0.1944444444444444,0.2013888888888889,3.007638888888889,0.0138888888888888,0.1875,0.3541666666666666,0.8240832997108356,COG0513
OM-RGC.v2.046050773,IDR,omrgcv2,1,38,OM-RGC.v2.046050773_1-38,0.452,16.55,18.572,40.09,45.55,0.614,7.113,0.5636600255966187,38,0.3947368421052631,-0.2368421052631578,4.170197478391177,1.5722291645336273,4261.900000000001,0.3157894736842105,0.0789473684210526,3.452631578947369,0.0526315789473684,0.2631578947368421,0.131578947368421,0.7887984232338153,COG0513
OM-RGC.v2.000833962,ORDERED-IDR-ORDERED-IDR,omrgcv2,424,440,OM-RGC.v2.000833962_424-440,0.511,12.13,12.13,30.208,30.208,0.51,6.995,0.1661728397011757,17,0.4705882352941176,-0.1176470588235294,2.974493015807723,-0.1882203141674986,1931.0999999999997,0.2941176470588235,0.1764705882352941,2.6,0.0,0.1764705882352941,0.0588235294117647,0.6038624680304776,COG0513
OM-RGC.v2.000833962,ORDERED-IDR-ORDERED-IDR,omrgcv2,506,682,OM-RGC.v2.000833962_506-682,0.434,45.322,45.201,107.86,107.802,0.563,6.261,0.1757634207606315,177,0.3333333333333333,0.1299435028248587,5.884418229174623,7.791829293491915,18486.60000000001,0.1016949152542373,0.231638418079096,3.1610169491525424,0.0451977401129943,0.192090395480226,0.2994350282485876,0.8319480953694728,COG0513
OM-RGC.v2.003160040,ORDERED-IDR,omrgcv2,380,437,OM-RGC.v2.003160040_380-437,0.444,23.339,23.214,54.659,55.057,0.558,6.682,0.2659473419189453,58,0.3448275862068966,0.1379310344827586,3.981673506415198,0.7343187948838859,6565.200000000003,0.1034482758620689,0.2413793103448276,2.512068965517241,0.0,0.1551724137931034,0.396551724137931,0.855089282647827,COG0513
OM-RGC.v2.003601707,IDR-ORDERED-IDR,omrgcv2,1,16,OM-RGC.v2.003601707_1-16,0.507,11.695,11.695,29.66,29.66,0.548,5.877,-1.0,16,0.5,0.5,2.942449142003829,2.4624043838258296,1884.5,0.0,0.5,2.2,0.0,0.125,0.25,0.5206009796094582,COG0513
OM-RGC.v2.003601707,IDR-ORDERED-IDR,omrgcv2,399,418,OM-RGC.v2.003601707_399-418,0.471,11.632,11.632,28.929,28.929,0.554,4.096,0.2456592768430709,20,0.25,-0.15,3.546710823563908,0.3801987223270482,2240.7999999999997,0.2,0.05,3.97,0.1,0.2,0.4,0.8380352507881688,COG0513
OM-RGC.v2.002578642,ORDERED-IDR,omrgcv2,380,468,OM-RGC.v2.002578642_380-468,0.413,27.692,27.822,64.361,65.323,0.553,6.482,0.2754694521427154,89,0.2359550561797752,0.146067415730337,4.394314812214865,3.598179112999268,9036.700000000012,0.0449438202247191,0.1910112359550561,2.9651685393258425,0.0112359550561797,0.1573033707865168,0.4943820224719101,0.726844129328462,COG0513
OM-RGC.v2.001242549,ORDERED-IDR-ORDERED-IDR,omrgcv2,433,487,OM-RGC.v2.001242549_433-487,0.478,22.59,23.319,51.767,56.794,0.553,6.599,0.0482855439186096,55,0.4,0.0727272727272727,4.044894428256263,0.3228608795387756,6035.1,0.1636363636363636,0.2363636363636363,2.729090909090909,0.0,0.1454545454545454,0.2909090909090909,0.8005136914361922,COG0513
OM-RGC.v2.001242549,ORDERED-IDR-ORDERED-IDR,omrgcv2,559,599,OM-RGC.v2.001242549_559-599,0.48,19.105,19.707,52.899,49.44,0.59,6.15,0.3080585449934006,41,0.3902439024390244,0.2439024390243902,3.8245607044365206,3.4871212971994745,4458.799999999998,0.073170731707317,0.3170731707317073,2.551219512195122,0.0,0.1463414634146341,0.3170731707317072,0.7642298296019518,COG0513
OM-RGC.v2.030475528,ORDERED-IDR,omrgcv2,49,137,OM-RGC.v2.030475528_49-137,0.437,27.877,30.237,69.974,72.491,0.559,6.395,0.2143246605992317,89,0.449438202247191,0.1573033707865168,4.481513433876367,2.744790806027324,10011.700000000012,0.146067415730337,0.3033707865168539,2.6573033707865163,0.0224719101123595,0.1797752808988764,0.2808988764044944,0.8408684961645457,COG0513
OM-RGC.v2.002499293,IDR-ORDERED,omrgcv2,1,80,OM-RGC.v2.002499293_1-80,0.44,26.945,27.3,67.629,65.512,0.559,6.439,0.2407894507050514,80,0.2624999999999999,0.0624999999999999,4.959689500784314,0.0535753432254567,8307.80000000001,0.1,0.1624999999999999,3.3625,0.0125,0.2125,0.3999999999999999,0.8523754556427303,COG0513
OM-RGC.v2.003291956,ORDERED-IDR,omrgcv2,382,431,OM-RGC.v2.003291956_382-431,0.438,18.827,19.833,47.698,47.922,0.56,5.926,0.1673824563622474,50,0.24,0.2,3.599586766831337,3.405298240859547,4929.500000000001,0.02,0.22,2.946,0.0,0.16,0.54,0.6630837722309991,COG0513
OM-RGC.v2.002997028,ORDERED-IDR,omrgcv2,370,445,OM-RGC.v2.002997028_370-445,0.451,27.625,27.914,67.554,67.575,0.576,6.556,0.2662620097398758,76,0.3684210526315789,0.2105263157894737,4.364630394455906,6.453220092623243,8514.100000000011,0.0789473684210526,0.2894736842105263,2.8671052631578946,0.0131578947368421,0.2368421052631579,0.2894736842105263,0.8107892455148705,COG0513
OM-RGC.v2.002880045,ORDERED-IDR,omrgcv2,333,451,OM-RGC.v2.002880045_333-451,0.418,32.425,32.8,78.081,78.671,0.537,6.27,0.2337236180901527,119,0.3697478991596638,0.0168067226890756,4.978161942952935,-1.3573021176408868,12721.100000000028,0.1764705882352941,0.1932773109243697,3.116806722689076,0.0252100840336134,0.2100840336134453,0.3025210084033613,0.8504286374444612,COG0513
OM-RGC.v2.002664115,ORDERED-IDR,omrgcv2,369,463,OM-RGC.v2.002664115_369-463,0.444,29.974,30.086,75.048,72.065,0.574,5.926,0.2307301834225654,95,0.3157894736842105,0.1894736842105263,4.466706419771424,8.027078018921594,9826.900000000018,0.0631578947368421,0.2526315789473684,2.482105263157895,0.0105263157894736,0.0736842105263158,0.5157894736842106,0.7665241104883066,COG0513
OM-RGC.v2.001978416,IDR-ORDERED-IDR,omrgcv2,1,59,OM-RGC.v2.001978416_1-59,0.403,21.144,22.019,52.484,52.916,0.554,6.281,0.2306287139654159,59,0.423728813559322,0.1525423728813559,3.734487687329356,1.4191034608614552,6332.000000000002,0.135593220338983,0.288135593220339,2.554237288135593,0.0338983050847457,0.1016949152542372,0.3898305084745762,0.7789034390038547,COG0513
OM-RGC.v2.001978416,IDR-ORDERED-IDR,omrgcv2,431,512,OM-RGC.v2.001978416_431-512,0.411,26.949,27.544,62.3,61.958,0.549,7.412,0.2405046597123146,82,0.4146341463414634,0.048780487804878,4.9558213900527415,-2.1762394878157902,9286.500000000013,0.1829268292682926,0.2317073170731707,2.915853658536585,0.073170731707317,0.1585365853658536,0.2195121951219512,0.8737261232852889,COG0513
OM-RGC.v2.003017175,ORDERED-IDR,omrgcv2,375,444,OM-RGC.v2.003017175_375-444,0.421,22.24,23.185,56.51,56.877,0.546,6.121,0.253659076988697,70,0.2285714285714285,0.1714285714285714,4.465600323165111,4.023425843145423,6580.100000000004,0.0285714285714285,0.1999999999999999,3.261428571428571,0.0428571428571428,0.1571428571428571,0.5,0.6727362856672683,COG0513
OM-RGC.v2.032087410,ORDERED-IDR,omrgcv2,90,126,OM-RGC.v2.032087410_90-126,0.482,17.062,18.077,44.682,45.464,0.596,6.37,0.3526548147201538,37,0.4594594594594595,0.3513513513513513,3.4408192736531737,5.988905542379174,4613.099999999997,0.054054054054054,0.4054054054054054,2.448648648648648,0.081081081081081,0.1081081081081081,0.3243243243243243,0.731038233147862,COG0513
OM-RGC.v2.033564237,ORDERED-IDR,omrgcv2,70,116,OM-RGC.v2.033564237_70-116,0.476,20.541,21.202,49.515,51.161,0.598,6.127,0.2389906197786331,47,0.4893617021276595,0.2340425531914894,3.7833527603315575,3.25931628710433,5351.8,0.1276595744680851,0.3617021276595745,2.427659574468085,0.0,0.1063829787234042,0.3404255319148936,0.759761225858796,COG0513
OM-RGC.v2.022714559,ORDERED-IDR,omrgcv2,49,180,OM-RGC.v2.022714559_49-180,0.437,39.064,39.009,96.257,97.194,0.599,6.184,0.278526708483696,132,0.5075757575757576,0.3257575757575758,4.905620780336888,43.950960920483006,16145.400000000038,0.0909090909090909,0.4166666666666667,2.4037878787878784,0.1212121212121212,0.053030303030303,0.2954545454545454,0.7622261240370873,COG0513
OM-RGC.v2.015289771,ORDERED-IDR,omrgcv2,204,224,OM-RGC.v2.015289771_204-224,0.484,12.164,12.164,30.284,30.284,0.518,6.602,-1.0,21,0.3333333333333333,0.3333333333333333,3.08117523135108,2.3533380271182245,2424.099999999999,0.0,0.3333333333333333,3.3952380952380943,0.1428571428571428,0.1904761904761904,0.2857142857142857,0.7037658997537056,COG0513
OM-RGC.v2.015814015,ORDERED-IDR,omrgcv2,203,220,OM-RGC.v2.015814015_203-220,0.466,11.4,11.4,28.694,28.694,0.609,3.47,-1.0,18,0.4444444444444444,0.4444444444444444,2.8931437948580125,3.634098807677365,2207.9999999999995,0.0,0.4444444444444444,2.4333333333333336,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.6093880700508908,COG0513
OM-RGC.v2.033417293,ORDERED-IDR,omrgcv2,47,117,OM-RGC.v2.033417293_47-117,0.471,27.219,27.671,71.206,67.326,0.597,5.834,0.301679864525795,71,0.3943661971830986,0.3098591549295775,4.432544365929357,13.836015643469738,8118.800000000001,0.0422535211267605,0.352112676056338,2.6366197183098588,0.056338028169014,0.0985915492957746,0.4084507042253522,0.768162051154349,COG0513
OM-RGC.v2.008315341,ORDERED-IDR,omrgcv2,236,301,OM-RGC.v2.008315341_236-301,0.474,26.89,28.202,70.131,70.765,0.649,5.71,0.3129373639822006,66,0.5454545454545454,0.4545454545454545,4.171266945218255,28.182209718135866,8272.900000000003,0.0454545454545454,0.5,2.012121212121212,0.1212121212121212,0.0454545454545454,0.2575757575757575,0.6024732129039937,COG0513
OM-RGC.v2.016223445,ORDERED-IDR,omrgcv2,200,217,OM-RGC.v2.016223445_200-217,0.466,10.816,10.816,27.715,27.715,0.559,5.803,-1.0,18,0.2222222222222222,-0.2222222222222222,3.245867100238178,0.8705581320949983,1813.3,0.2222222222222222,0.0,3.95,0.0,0.2777777777777778,0.3888888888888889,0.7654617943433139,COG0513
OM-RGC.v2.006784272,ORDERED-IDR,omrgcv2,188,328,OM-RGC.v2.006784272_188-328,0.405,37.069,37.694,91.631,94.253,0.566,6.231,0.1858923733234405,141,0.4184397163120567,0.1914893617021276,4.873111701540243,17.054961629666398,16017.100000000024,0.1134751773049645,0.3049645390070922,2.526241134751773,0.0425531914893617,0.1205673758865248,0.3333333333333333,0.842514596358559,COG0513
OM-RGC.v2.006585296,ORDERED-IDR,omrgcv2,319,332,OM-RGC.v2.006585296_319-332,0.519,9.702,9.702,24.705,24.705,0.504,5.614,0.1833333149552345,14,0.1428571428571428,0.0,3.145889255387471,0.0,1486.0,0.0714285714285714,0.0714285714285714,4.021428571428571,0.0,0.2857142857142857,0.5,0.6370847283289994,COG0513
OM-RGC.v2.008378854,ORDERED-IDR,omrgcv2,230,300,OM-RGC.v2.008378854_230-300,0.467,26.065,26.145,62.134,62.193,0.574,5.966,0.2222556248307228,71,0.4647887323943662,0.2394366197183098,4.0400097392946845,6.7026959376342825,8579.600000000006,0.1126760563380281,0.352112676056338,2.108450704225352,0.0422535211267605,0.0985915492957746,0.3943661971830985,0.73150640633539,COG0513
OM-RGC.v2.026878277,IDR,omrgcv2,1,162,OM-RGC.v2.026878277_1-162,0.427,42.9,41.185,98.336,99.715,0.562,6.409,0.1983300149440765,162,0.4320987654320987,0.2222222222222222,5.533002905792388,24.514623015131047,19391.000000000025,0.1049382716049382,0.3271604938271605,2.70679012345679,0.1419753086419753,0.074074074074074,0.3024691358024691,0.8389693026869796,COG0513
OM-RGC.v2.009829731,IDR-ORDERED-IDR,omrgcv2,1,14,OM-RGC.v2.009829731_1-14,0.479,9.528,9.528,23.065,23.065,0.509,5.567,-1.0,14,0.0714285714285714,-0.0714285714285714,3.233693012543013,0.0,1410.7999999999995,0.0714285714285714,0.0,4.542857142857143,0.0,0.3571428571428571,0.4999999999999999,0.7817768873765202,COG0513
OM-RGC.v2.009829731,IDR-ORDERED-IDR,omrgcv2,114,279,OM-RGC.v2.009829731_114-279,0.421,39.771,40.981,100.669,100.967,0.559,6.137,0.124497003853321,166,0.3795180722891567,0.1626506024096385,5.02979406616717,15.75166869834985,18210.400000000005,0.108433734939759,0.2710843373493976,2.6855421686746985,0.0301204819277108,0.108433734939759,0.3734939759036144,0.8245335731124528,COG0513
OM-RGC.v2.001437291,ORDERED,omrgcv2,527,571,OM-RGC.v2.001437291_527-571,0.482,19.726,20.855,51.791,52.372,0.595,5.982,0.299035981297493,45,0.4444444444444444,0.3555555555555555,3.697653724746588,9.654260203270647,5230.999999999998,0.0444444444444444,0.3999999999999999,2.615555555555555,0.0222222222222222,0.1333333333333333,0.3777777777777777,0.7463406086422069,COG0513
OM-RGC.v2.001217605,ORDERED,omrgcv2,1,13,OM-RGC.v2.001217605_1-13,0.47,8.882,8.882,22.72,22.72,0.471,6.209,-1.0,13,0.2307692307692307,-0.2307692307692307,2.8319463508713505,0.4140255651878278,1436.7999999999995,0.2307692307692307,0.0,4.1,0.0,0.3846153846153846,0.3846153846153846,0.6782178889967663,COG0513
OM-RGC.v2.001217605,ORDERED,omrgcv2,451,487,OM-RGC.v2.001217605_451-487,0.417,15.501,15.992,37.966,38.544,0.538,6.091,0.0566138848662376,37,0.6756756756756758,0.081081081081081,2.323156215677149,-0.0042727465690886,4585.399999999999,0.2972972972972973,0.3783783783783784,1.786486486486487,0.054054054054054,0.054054054054054,0.2162162162162162,0.664245886753359,COG0513
OM-RGC.v2.001217605,ORDERED,omrgcv2,562,603,OM-RGC.v2.001217605_562-603,0.477,18.764,19.834,51.67,50.091,0.604,5.851,0.2259278371930122,42,0.4523809523809524,0.3571428571428571,4.006588839161582,8.312366933210944,4629.499999999998,0.0476190476190476,0.4047619047619047,2.8428571428571425,0.119047619047619,0.0238095238095238,0.3333333333333333,0.6162820516170315,COG0513
OM-RGC.v2.001393075,ORDERED,omrgcv2,433,481,OM-RGC.v2.001393075_433-481,0.458,19.766,21.102,49.781,51.607,0.569,6.343,0.1365306228399276,49,0.2653061224489795,0.0612244897959183,4.501832248260335,-0.1076825925593599,5147.5,0.1020408163265306,0.1632653061224489,3.438775510204082,0.0204081632653061,0.2448979591836734,0.3673469387755102,0.8634937593343008,COG0513
OM-RGC.v2.003098803,ORDERED,omrgcv2,369,440,OM-RGC.v2.003098803_369-440,0.485,30.293,28.694,67.318,69.595,0.614,5.648,0.2541924566030502,72,0.4444444444444444,0.3333333333333333,4.673219095791705,15.919814469237055,8095.700000000004,0.0555555555555555,0.3888888888888889,2.6375,0.0694444444444444,0.0694444444444444,0.375,0.7076155765114766,COG0513
OM-RGC.v2.002303875,ORDERED,omrgcv2,423,486,OM-RGC.v2.002303875_423-486,0.39,22.186,23.045,49.531,52.031,0.481,8.2,0.3720589876174927,64,0.515625,0.140625,4.0854397659548445,-2.6728228604554345,7635.500000000002,0.1875,0.328125,2.2046875000000004,0.078125,0.0625,0.25,0.8239442795073875,COG0513
OM-RGC.v2.026378118,ORDERED,omrgcv2,1,165,OM-RGC.v2.026378118_1-165,0.439,43.946,43.592,109.102,107.79,0.58,5.922,0.2101000025868415,165,0.4303030303030303,0.2727272727272727,5.36115435673629,41.92531767464954,19488.500000000025,0.0787878787878788,0.3515151515151515,2.689696969696969,0.1151515151515151,0.0727272727272727,0.3272727272727272,0.8188043108915424,COG0513
